#Table1
objid,ra,dec,u,g,r,i,z
1237667540679853397,150.049791889862,19.9435484114477,24.85128,24.37499,23.17332,22.33125,21.34988
1237667540679853408,150.032586550468,20.0434626863908,25.35991,24.00183,23.19368,22.10106,21.08349
1237667540679853409,150.054295468502,19.9636633417368,25.5965,24.00697,25.2782,22.47601,22.52358
1237667540679853412,150.052145179668,19.9858020867706,24.82036,24.37153,24.12465,22.42762,22.94733
1237667540679853423,150.082392254276,19.970761120688,25.57366,24.36746,25.12236,22.46994,23.20025
1237667540679853476,149.995668596051,19.9531082409646,23.78429,24.24089,24.12076,24.61155,21.26306
1237667536933486638,149.932625941529,20.0311902890061,14.44936,11.5182,11.1017,11.00398,13.29102
1237667536933486639,149.932106416729,20.0326608339338,24.63465,20.68321,21.06569,24.3618,22.8269
1237667536933486640,149.931087018308,20.0308954759536,24.63465,20.57121,21.34651,21.67517,22.8269
1237667536933486643,149.933445922172,20.0281918061921,24.63465,23.4037,23.08609,22.44904,22.82689
1237667536933486648,149.937330138838,20.0355821222095,24.50134,24.66219,25.14953,22.71826,23.38941
1237667536933486649,149.926489285453,20.0326573882004,24.39883,23.527,25.3083,22.9099,23.43207
1237667536933486782,149.948475028603,20.0595985931453,20.19263,19.0938,18.60073,18.42129,18.34959
1237667536933486860,149.979483795518,20.0806894648021,23.87589,20.81703,19.43783,18.58084,18.08092
1237667536933486949,149.941898994992,20.0490460224858,24.38774,22.39501,20.83758,19.71602,19.04477
1237667536933486950,149.943732220429,20.0502615571795,24.54754,24.20007,22.91055,22.6068,23.03515
1237667536933487327,149.953423713715,20.0604005198601,23.86646,22.71648,21.49251,20.86065,20.69391
1237667536933487340,149.955488223903,20.0697280518653,24.39553,22.88528,22.54761,21.48501,22.65967
1237667536933487345,149.957918788996,20.0660759551953,24.37262,22.54045,22.08004,22.03972,22.19501
1237667536933487575,149.9402653085,20.0390605444511,25.69287,23.86918,22.53205,21.93441,20.92043
1237667536933487769,149.97690181349,20.078159634343,23.94975,23.55974,23.31227,22.37106,22.29713
1237667540679786560,149.927363893812,20.0170442638591,25.16384,24.28852,22.84085,22.11224,21.09951
1237667540679786562,149.920422003836,20.0158851680257,24.79286,24.18554,24.72537,23.19481,23.39883
1237667540679786564,149.914147563984,20.0140847360044,24.00527,24.68236,22.72031,22.71029,21.96593
1237667540679786566,149.915778658897,20.0106208470227,24.54589,24.27066,23.30142,22.88883,22.37614
1237667540679787501,149.917529039302,20.0154241628891,23.17504,23.49859,22.64036,21.9012,21.50328
1237667540679787514,149.923506805731,20.0193689339323,25.22435,24.41976,22.71446,24.32476,22.17584
1237667540679787683,149.921901952986,20.0174590011917,25.06484,24.63034,24.32423,22.5112,22.11053
1237667540679852182,149.999722616705,19.9701505254613,20.56706,17.71467,16.21139,14.62503,13.75668
1237667540679852184,149.997988429061,19.9718486372463,25.49842,23.88602,23.70383,22.29695,22.87161
1237667540679852239,150.063822358876,20.00501044491,22.24179,19.634,18.37413,17.89113,17.64459
1237667540679852310,150.037899997826,19.9921286754609,23.1334,20.74971,19.72901,19.34485,19.08041
1237667540679852346,150.068955804625,20.0241932123106,24.46032,23.27397,21.5252,21.0092,20.50312
1237667540679852347,150.069552772034,20.0190714597107,24.15172,22.79081,22.59335,22.46192,22.56883
1237667540679852348,150.069655901489,20.022926117234,23.6979,23.24584,22.15222,21.72786,22.1195
1237667540679852351,150.067299828425,20.0199702541045,24.00434,24.84863,22.76327,22.14943,22.06081
1237667540679852459,150.021662416306,20.0054458162568,22.52371,24.74174,24.8828,24.2445,22.64661
1237667540679852596,149.994736079487,19.9776151340813,22.52001,23.29095,23.32827,22.85956,23.2657
1237667540679852676,150.029365689829,19.978930137687,22.90491,22.69135,22.72037,22.26372,21.73992
1237667540679852690,150.033955317179,19.9823836567966,24.67182,22.62164,21.25326,20.00434,19.31323
1237667540679852693,150.0243442975,20.0141303294755,24.22765,24.16717,23.02174,22.88995,22.11329
1237667540679852733,150.043025740756,19.9955851676474,24.06714,23.19092,22.78644,22.21087,21.7388
1237667540679852745,150.062430579447,19.9416173944928,25.00047,23.68504,22.78072,22.29007,22.00552
1237667540679852774,150.046239155372,20.0241215265588,24.28661,22.38333,21.01289,19.70476,18.90362
1237667540679852802,150.060626398915,20.0220745017793,24.56253,22.12515,20.7562,19.99486,19.51831
1237667540679853118,150.043562991555,19.9854975971894,23.88299,23.80151,22.99734,22.20835,21.57158
1237667540679853125,150.042116171538,20.0099427779823,25.50645,24.52278,23.24603,22.72749,21.68442
1237667540679853127,150.045108400481,20.0014145905227,24.45168,23.47643,22.25995,20.68913,19.61595
1237667540679853143,150.053056139814,19.9989687902658,24.38699,23.78726,23.15422,22.45871,22.05472
1237667540679853163,150.053664741172,20.024905628981,24.49822,23.28147,22.50927,22.57855,21.93493
1237667540679853164,150.060625371259,20.0048484581748,24.12439,24.07569,23.1047,22.68541,22.40507
1237667540679853174,150.060827371133,20.0159940520941,25.15419,23.57668,22.6357,22.08771,21.72324
1237667540679853175,150.055408792051,20.0372487249947,24.84844,24.66884,22.98209,21.60485,20.63416
1237667540679853386,150.029639515957,19.9918291684295,24.6315,24.54283,23.37946,22.0301,21.20406
1237667540679853421,150.061493828634,20.0248764020947,24.68073,24.2265,23.61553,22.43087,22.56933
